name,line,PlaceIsol,drug,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,,
211126_YST6_V6_A_BA_48h,YST6,V6,BA,8,10,13,0.13,0.24,0.3,25.5,,
211126_YST6_V6_B_BA_48h,YST6,V6,BA,8,10,14,0.13,0.19,0.33,27.9,,
220113_YST6_V6_A_BA_48hr,YST6,V6,BA,5,9,10,0.12,0.33,0.28,43.5,,
220113_YST6_V6_B_BA_48hr,YST6,V6,BA,4,7,8,0.31,0.31,0.29,38.6,,
211209_YST6_V7_A_BA_48hr,YST6,V7,BA,3,8,10,0.41,0.44,0.43,25,,
211209_YST6_V7_B_BA_48hr,YST6,V7,BA,4,9,11,0.19,0.39,0.35,26.4,,
220113_YST6_V7_A_BA_48hr,YST6,V7,BA,6,8,12,0.09,0.19,0.32,41.2,,
220113_YST6_V7_B_BA_48hr,YST6,V7,BA,4,8,10,0.27,0.46,0.38,29.1,,
211209_YST6_V8_A_BA_48hr,YST6,V8,BA,5,9,11,0.25,0.38,0.31,26.6,,
211209_YST6_V8_B_BA_48hr,YST6,V8,BA,4,7,11,0.19,0.35,0.41,22.8,,
220113_YST6_V8_A_BA_48hr,YST6,V8,BA,4,7,9,0.15,0.33,0.33,35.8,,
220113_YST6_V8_B_BA_48hr,YST6,V8,BA,5,9,10,0.17,0.34,0.29,39,,
211209_YST6_V9_A_BA_48hr,YST6,V9,BA,5,9,12,0.16,0.34,0.36,26.1,,
211209_YST6_V9_B_BA_48hr,YST6,V9,BA,2,7,9,0.43,0.52,0.47,20.6,,
220113_YST6_V9_A_BA_48hr,YST6,V9,BA,5,9,11,0.19,0.37,0.34,30.8,,
220113_YST6_V9_B_BA_48hr,YST6,V9,BA,6,8,12,0.1,0.19,0.32,42.3,,
211209_YST6_V10_A_BA_48hr,YST6,V10,BA,2,5,6,0.64,0.46,0.4,26.4,,
211209_YST6_V10_B_BA_48hr,YST6,V10,BA,2,6,9,0.6,0.46,0.5,15.5,,
220113_YST6_V10_A_BA_48hr,YST6,V10,BA,2,5,7,0.57,0.52,0.46,24.9,,
220113_YST6_V10_B_BA_48hr,YST6,V10,BA,3,5,9,0.25,0.35,0.45,25.1,,
211209_YST6_V11_A_BA_48hr,YST6,V11,BA,3,7,10,0.52,0.46,0.46,18.9,,
211209_YST6_V11_B_BA_48hr,YST6,V11,BA,2,7,8,0.25,0.48,0.39,20.2,,
220113_YST6_V11_A_BA_48hr,YST6,V11,BA,6,7,12,0.07,0.13,0.36,31.2,,
